[2016-11-16 15:40:41.426]  Tuned to 16
[2016-11-16 15:40:41.526]  Tuned to 17
[2016-11-16 15:40:41.626]  Tuned to 18
[2016-11-16 15:40:41.727]  Tuned to 19
[2016-11-16 15:40:41.827]  Tuned to 20
[2016-11-16 15:40:41.928]  Tuned to 21
[2016-11-16 15:40:42.028]  Tuned to 22
[2016-11-16 15:40:42.129]  Tuned to 23
[2016-11-16 15:40:42.229]  Tuned to 24
[2016-11-16 15:40:42.331]  Tuned to 25
[2016-11-16 15:40:42.431]  Tuned to 26
[2016-11-16 15:40:42.532]  Tuned to 27
[2016-11-16 15:40:42.632]  Tuned to 28
[2016-11-16 15:40:42.734]  Tuned to 29
[2016-11-16 15:40:42.835]  Tuned to 30
[2016-11-16 15:40:42.935]  Tuned to 31
[2016-11-16 15:40:43.036]  Tuned to 32
[2016-11-16 15:40:43.137]  Tuned to 33
[2016-11-16 15:40:43.237]  Tuned to 34
[2016-11-16 15:40:43.337]  Tuned to 35
[2016-11-16 15:40:43.438]  Tuned to 36
[2016-11-16 15:40:43.538]  Tuned to 37
[2016-11-16 15:40:43.638]  Tuned to 38
[2016-11-16 15:40:43.739]  Tuned to 39
[2016-11-16 15:40:43.839]  Tuned to 40
[2016-11-16 15:40:43.939]  Tuned to 41
[2016-11-16 15:40:44.040]  Tuned to 42
[2016-11-16 15:40:44.140]  Tuned to 43
[2016-11-16 15:40:44.240]  Tuned to 44
[2016-11-16 15:40:44.340]  Tuned to 45
[2016-11-16 15:40:44.441]  Tuned to 46
[2016-11-16 15:40:44.541]  Tuned to 47
[2016-11-16 15:40:44.641]  Tuned to 48
[2016-11-16 15:40:44.742]  Tuned to 49
[2016-11-16 15:40:44.842]  Tuned to 50
[2016-11-16 15:40:44.942]  Tuned to 51
[2016-11-16 15:40:45.043]  Tuned to 52
[2016-11-16 15:40:45.143]  Tuned to 53
[2016-11-16 15:40:45.243]  Tuned to 54
[2016-11-16 15:40:45.343]  Tuned to 55
[2016-11-16 15:40:45.444]  Tuned to 56
[2016-11-16 15:40:45.544]  Tuned to 57
[2016-11-16 15:40:45.644]  Tuned to 58
[2016-11-16 15:40:45.745]  Tuned to 59
[2016-11-16 15:40:45.845]  Tuned to 60
[2016-11-16 15:40:45.945]  Tuned to 61
[2016-11-16 15:40:46.046]  Tuned to 62
[2016-11-16 15:40:46.146]  Tuned to 63
[2016-11-16 15:40:46.246]  Tuned to 64
[2016-11-16 15:40:46.346]  Tuned to 65
[2016-11-16 15:40:46.447]  Tuned to 66
[2016-11-16 15:40:46.547]  Tuned to 67
[2016-11-16 15:40:46.647]  Tuned to 68
[2016-11-16 15:40:46.748]  Tuned to 69
[2016-11-16 15:40:46.849]  Tuned to 70
[2016-11-16 15:40:46.950]  Tuned to 71
[2016-11-16 15:40:47.050]  Tuned to 72
[2016-11-16 15:40:47.150]  Tuned to 73
[2016-11-16 15:40:47.251]  Tuned to 74
[2016-11-16 15:40:47.351]  Tuned to 75
[2016-11-16 15:40:47.452]  Tuned to 76
[2016-11-16 15:40:47.552]  Tuned to 77
[2016-11-16 15:40:47.652]  Tuned to 78
[2016-11-16 15:40:47.753]  Tuned to 79
[2016-11-16 15:40:47.853]  Tuned to 80
[2016-11-16 15:40:47.953]  Tuned to 81
[2016-11-16 15:40:48.054]  Tuned to 82
[2016-11-16 15:40:48.154]  Tuned to 83
[2016-11-16 15:40:48.254]  Tuned to 2
